ID1	ID2	Date	Time
Inbred_line	CA2100L6	20180413	161454
Inbred_line	CA1100L87	20180413	170152
Inbred_line	CA3100L106	20180416	93220
Inbred_line	CA1100L62	20180416	95356
Inbred_line	CA2100L21	20180416	102618
Inbred_line	CA3100L118	20180416	104648
Inbred_line	CA2100L106	20180416	110715
Inbred_line	CA1100L86	20180416	112809
Inbred_line	CA1100L34	20180416	114855
Inbred_line	CA2100L20	20180416	120947
Inbred_line	CA2100L31	20180416	123214
Inbred_line	CA1100L19	20180416	125407
Inbred_line	CA3100L29	20180416	131542
Inbred_line	CA2100L69	20180416	134810
Inbred_line	CA2100L2	20180420	114437
Inbred_line	CA1100L15	20180420	121349
Inbred_line	CA1100L35	20180420	123443
Inbred_line	CA1100L65	20180420	125509
Inbred_line	CA2100L109	20180420	131539
Inbred_line	CA2100L38	20180420	133718
Inbred_line	CA1100L45	20180420	140111
Inbred_line	CA3100L84	20180420	142651
Inbred_line	CA1100L41	20180420	144758
Inbred_line	CA3100L14	20180420	150829
Inbred_line	CA3100L2	20180420	152935
Inbred_line	CA1100L2	20180420	155030
Inbred_line	CA2100L23	20180420	161055
Inbred_line	CA1100L6	20180420	163214
Inbred_line	CA2100L87	20180420	165242
Inbred_line	CA2100L15	20180420	171513
Inbred_line	CA1100L44	20180423	95155
Inbred_line	CA3100L59	20180423	101225
Inbred_line	CA3100L120	20180423	103252
Inbred_line	CA3100L39	20180423	105340
Inbred_line	CA2100L33	20180423	111447
Inbred_line	CA1100L17	20180423	114323
Inbred_line	CA2100L35	20180423	120715
Inbred_line	CA1100L73	20180423	123939
Inbred_line	CA2100L89	20180423	130810
Inbred_line	CA2100L94	20180423	135035
Inbred_line	CA3100L69	20180423	142250
Inbred_line	CA3100L40	20180423	150037
Inbred_line	CA2100L88	20180424	92822
Inbred_line	CA2100L115	20180424	94855
Inbred_line	A6140L74	20180424	103311
Inbred_line	CA3100L104	20180424	105404
Inbred_line	CA3100L74	20180424	121822
Inbred_line	CA2100L96	20180424	123857
Inbred_line	CA3100L5	20180424	130046
Inbred_line	CA2100L5	20180424	132655
Inbred_line	CA2100L48	20180424	134735
Inbred_line	CA2100L107	20180424	140806
Inbred_line	CA2100L43	20180424	142833
Inbred_line	A6140L114	20180424	144913
Inbred_line	CA2100L36	20180424	151008
Inbred_line	CA1100L30	20180424	153039
