data_id	pop_label	population	data_group_name	date_str	time_str	exper_duration_s	logD	temperature	rel_humidity	env_label	T12	T13	T21	T23	T31	T32	T12_pred_01	T13_pred_01	T21_pred_01	T23_pred_01	T31_pred_01	T32_pred_01	T12_pred_02	T13_pred_02	T21_pred_02	T23_pred_02	T31_pred_02	T32_pred_02	population2
A6140L273_NGM_B102	A6140L273	A6140	B102	20180126	131706	1201.013	2.80121857027313	24.5	36	NGM	-1.37755224767029	-2.36329545741027	-1.19972719402	-4.23018321128035	-0.419857019522262	-2.19569783886606	-2.112016193688	-2.81569036459076	-0.488629677761673	-3.96279050311201	0.0831800608634989	-2.7466099833335	-1.63593247612932	-2.31323233224256	-0.841997732432836	-4.03577088292467	-0.168806846417646	-2.53589554326887	A6140
CA3100L28_NGM_B102	CA3100L28	CA3100	B102	20180126	133804	1289.291	3.15192746275862	24.6	36	NGM	-1.81324127623868	-2.4730518868377	-1.68405401494224	-3.70236358066784	-1.08405452241803	-1.47395518447801	-2.54770522225639	-2.92544679401819	-0.972956498683913	-3.4349708724995	-0.581017442032269	-2.02486732894545	-2.07162150469771	-2.42298876166999	-1.32632455335508	-3.50795125231216	-0.833004349313414	-1.81415288888082	CA100
CA3100L33_NGM_B102	CA3100L33	CA3100	B102	20180126	140022	1197.213	2.9461681766182	24.7	36	NGM	-1.84721139478095	-2.58625362567393	-0.598419292776289	-4.85681468586881	-0.244638061113513	-2.97569660903123	-2.58167534079866	-3.03864853285442	0.112678223482038	-4.58942197770047	0.258399019272248	-3.52660875349867	-2.10559162323998	-2.53619050050622	-0.240689831189125	-4.66240235751313	0.00641211199110348	-3.31589431343404	CA100
A6140L239_NGM_B102	A6140L239	A6140	B102	20180126	142136	1219.995	2.8222990939658	24.7	35	NGM	-1.97060493948679	-2.56572772229252	-0.543153241165223	-4.55282600166462	-0.274986827377698	-3.1693035540957	-2.7050688855045	-3.01812262947301	0.167944275093105	-4.28543329349628	0.228050253008063	-3.72021569856314	-2.22898516794582	-2.51566459712481	-0.185423779578059	-4.35841367330894	-0.0239366542730815	-3.50950125849851	A6140
CA3100L37_NGM_B102	CA3100L37	CA3100	B102	20180126	144246	1197.88	3.00146016336715	24.7	35	NGM	-1.85781465027749	-2.82000220209302	-0.814318532728513	-4.41003825013057	-0.238651509216044	-2.53224501094954	-2.5922785962952	-3.27239710927351	-0.103221016470185	-4.14264554196223	0.264385571169717	-3.08315715541698	-2.11619487873652	-2.76993907692531	-0.456589071141349	-4.21562592177489	0.0123986638885725	-2.87244271535235	CA100
CA3100L84_NGM_B102	CA3100L84	CA3100	B102	20180126	150335	1198.783	3.06048401837303	24.7	33	NGM	-1.45326393190899	-2.42303552463278	-1.59850256381084	-3.94911100804025	-0.669859410609025	-1.33323272057504	-2.1877278779267	-2.87543043181327	-0.887405047552513	-3.68171829987191	-0.166822330223264	-1.88414486504248	-1.71164416036802	-2.37297239946507	-1.24077310222368	-3.75469867968457	-0.418809237504409	-1.67343042497785	CA100
CA3100L30_NGM_B102	CA3100L30	CA3100	B102	20180126	152502	1204.035	2.97699662734961	24.8	35	NGM	-1.49992981256643	-2.55369854441609	-1.17298857222945	-4.19147011667141	-0.656485358313883	-1.80582765572842	-2.23439375858414	-3.00609345159658	-0.461891055971122	-3.92407740850307	-0.153448277928122	-2.35673980019586	-1.75831004102546	-2.50363541924838	-0.815259110642286	-3.99705778831573	-0.405435185209267	-2.14602536013123	CA100
A6140L247_NGM_B102	A6140L247	A6140	B102	20180126	154604	1226.987	3.0072862038172	24.8	35	NGM	-0.867934055564267	-2.28699945068453	-1.20505275405747	-4.8434742180258	-0.441273019328069	-1.72131280514033	-1.60239800158198	-2.73939435786502	-0.493955237799143	-4.57608150985746	0.0617640610576919	-2.27222494960777	-1.1263142840233	-2.23693632551682	-0.847323292470306	-4.64906188967012	-0.190222846223453	-2.06151050954314	A6140
A6140L351_NGM_B102	A6140L351	A6140	B102	20180126	160721	1198.524	2.91446651687246	25	35	NGM	-1.287358900348	-2.39055620307287	-1.38415587660899	-4.86003780626183	-0.39681801924304	-2.22381507300759	-2.02182284636571	-2.84295111025336	-0.673058360350663	-4.59264509809349	0.106219061142721	-2.77472721747503	-1.54573912880703	-2.34049307790516	-1.02642641502183	-4.66562547790615	-0.145767846138424	-2.5640127774104	A6140
A6140L331_NGM_B102	A6140L331	A6140	B102	20180126	162837	1213.401	2.84076381380819	25.2	35	NGM	-1.69072722189469	-2.61000791381281	-0.716043656255168	-5.02181679116365	0.0653014364455525	-3.23241114897613	-2.4251911679124	-3.0624028209933	-0.00494613999684046	-4.75442408299531	0.568338516831313	-3.78332329344357	-1.94910745035372	-2.5599447886451	-0.358314194668004	-4.82740446280797	0.316351609550169	-3.57260885337894	A6140
A6140L233_NGM_B102	A6140L233	A6140	B102	20180126	164937	1214.737	2.94322580398484	25.2	34	NGM	-1.21396964867025	-2.16174898172486	-1.4616517555728	-4.07231818795418	-0.449677208312964	-1.84014481576672	-1.94843359468796	-2.61414388890535	-0.750554239314472	-3.80492547978584	0.0533598720727969	-2.39105696023416	-1.47234987712928	-2.11168585655715	-1.10392229398564	-3.8779058595985	-0.198627035208348	-2.18034252016953	A6140
A6140L228_NGM_B102	A6140L228	A6140	B102	20180126	171035	1196.977	2.8993930965323	25.2	34	NGM	-1.49045732725023	-2.30424070363935	-0.78349495747703	-4.99191750637074	-0.146545435842909	-2.91777901640406	-2.22492127326794	-2.75663561081984	-0.0723974412187025	-4.7245247982024	0.356491644542852	-3.46869116087149	-1.74883755570926	-2.25417757847164	-0.425765495889866	-4.79750517801506	0.104504737261707	-3.25797672080687	A6140
CA3100L102_NGM_B103	CA3100L102	CA3100	B103	20180202	93137	1201.003	3.28757494893656	25.4	28	NGM	-2.1139597827523	-2.56058098230662	-1.56730550813196	-2.48518043979646	-1.22545112372304	-0.957908764419886	-2.84842372877001	-3.01297588948711	-0.856207991873633	-2.21778773162812	-0.722414043337279	-1.50882090888732	-2.37234001121133	-2.51051785713891	-1.2095760465448	-2.29076811144078	-0.974400950618424	-1.2981064688227	CA100
CA3100L85_NGM_B103	CA3100L85	CA3100	B103	20180202	95247	1227.347	3.86236348166532	25.4	28	NGM	-1.01043150424251	-2.33921672084649	-2.71123470865484	-3.99943232589509	-1.80272922769313	-1.62820322796529	-1.74489545026022	-2.79161162802698	-2.00013719239651	-3.73203961772675	-1.29969214730737	-2.17911537243273	-1.26881173270154	-2.28915359567878	-2.35350524706768	-3.80501999753941	-1.55167905458851	-1.9684009323681	CA100
CA3100L105_NGM_B103	CA3100L105	CA3100	B103	20180202	101413	1245.483	3.9044909909877	25.5	28	NGM	-1.5590084540412	-2.68709351115281	-3.10551978517737	-5.02810981847916	-1.48702405603822	-1.7458998300114	-2.29347240005891	-3.1394884183333	-2.39442226891904	-4.76071711031082	-0.983986975652459	-2.29681197447884	-1.81738868250023	-2.6370303859851	-2.74779032359021	-4.83369749012348	-1.2359738829336	-2.08609753441421	CA100
CA3100L97_NGM_B103	CA3100L97	CA3100	B103	20180202	103559	1199.456	3.81135204293326	25.5	28	NGM	-1.34439603450867	-2.42603774729428	-3.01099322770048	-4.11768965011581	-2.02641938811716	-0.826801393454404	-2.07885998052638	-2.87843265447477	-2.29989571144215	-3.85029694194747	-1.5233823077314	-1.37771353792184	-1.6027762629677	-2.37597462212657	-2.65326376611332	-3.92327732176013	-1.77536921501254	-1.16699909785722	CA100
CA3100L99_NGM_B103	CA3100L99	CA3100	B103	20180202	105638	1284.757	3.72389548772123	25.6	27	NGM	-2.21293402327774	-3.09062886228791	-1.69505907049108	-3.225594400008	-1.1839803313548	-1.14378985992649	-2.94739796929545	-3.5430237694684	-0.983961554232752	-2.95820169183966	-0.680943250969039	-1.69470200439393	-2.47131425173677	-3.0405657371202	-1.33732960890392	-3.03118207165232	-0.932930158250184	-1.4839875643293	CA100
CA3100L98_NGM_B103	CA3100L98	CA3100	B103	20180202	111855	1287.92	3.8038936105168	25.6	27	NGM	-1.55016695038939	-2.56272522632451	-3.10366679069205	-4.15587680147647	-1.94928872106764	-0.832316160588548	-2.2846308964071	-3.015120133505	-2.39256927443372	-3.88848409330813	-1.44625164068188	-1.38322830505598	-1.80854717884842	-2.5126621011568	-2.74593732910489	-3.96146447312079	-1.69823854796302	-1.17251386499136	CA100
CA3100L92_NGM_B103	CA3100L92	CA3100	B103	20180202	114121	1201.293	3.55483196993178	25.6	27	NGM	-1.66613792787018	-3.02358008379632	-2.13662959966059	-3.95450274832345	-1.51280185402536	-1.95463318770012	-2.40060187388789	-3.47597499097681	-1.42553208340226	-3.68711004015511	-1.0097647736396	-2.50554533216756	-1.92451815632921	-2.97351695862861	-1.77890013807343	-3.76009041996777	-1.26175168092074	-2.29483089210293	CA100
CA3100L95_NGM_B103	CA3100L95	CA3100	B103	20180202	120227	1198.877	3.70372204466541	25.6	27	NGM	-1.33805370720469	-2.73055052854218	-2.64152015928247	-4.1195333289575	-1.50661957285214	-1.21317196524605	-2.0725176532224	-3.18294543572267	-1.93042264302414	-3.85214062078916	-1.00358249246638	-1.76408410971349	-1.59643393566372	-2.68048740337447	-2.28379069769531	-3.92512100060182	-1.25556939974752	-1.55336966964886	CA100
CA3100L103_NGM_B103	CA3100L103	CA3100	B103	20180202	122318	1197.079	3.17858755363013	25.3	28	NGM	-1.92332139766748	-2.52147433734515	-1.58143518178262	-2.94255184068485	-1.40969938032053	-1.17165482642622	-2.65778534368519	-2.97386924452564	-0.870337665524292	-2.67515913251651	-0.906662299934769	-1.72256697089366	-2.18170162612651	-2.47141121217744	-1.22370572019546	-2.74813951232917	-1.15864920721591	-1.51185253082903	CA100
