exper_data_id	pop_label	data_group_name	mean_still	mean_forward	mean_backward	date_str	time_str
B306-20190304_084938_proc_male	A6140L0_male	B306	-2.00146529958426	1.29973548104467	-2.25219406121133	20190304	084938
B306-20190304_091120_proc_herm	A410L0_herm	B306	-0.16308321957573	-0.0436598547658544	-2.91137907980273	20190304	091120
B306-20190304_091120_proc_male	A410L0_male	B306	-1.77421047282892	0.857264340164933	-1.7120985406259	20190304	091120
B306-20190304_093151_proc_herm	A110L0_herm	B306	-0.625488828092913	0.404929391311745	-2.91136821666292	20190304	093151
B306-20190304_093151_proc_male	A110L0_male	B306	-2.07117899167391	1.43724932959157	-2.44177820790915	20190304	093151
B306-20190304_095748_proc_herm	CA35L0_herm	B306	-0.41693505894928	0.210580380291911	-2.93817891737373	20190304	095748
B306-20190304_095748_proc_male	CA35L0_male	B306	-2.01420600729399	1.31963017317891	-2.27564288242784	20190304	095748
B306-20190304_101822_proc_herm	CA15L0_herm	B306	-0.592790479404761	0.312998541971469	-2.64354215144947	20190304	101822
B306-20190304_101822_proc_male	CA15L0_male	B306	-2.06374625021331	1.34380222676973	-2.26322575184912	20190304	101822
B306-20190304_104003_proc_herm	CA110L0_herm	B306	-0.441010653221774	0.224479824563007	-2.89071739184923	20190304	104003
B306-20190304_104003_proc_male	CA110L0_male	B306	-1.96256967373581	1.24938409351611	-2.20148121350861	20190304	104003
B306-20190304_110029_proc_herm	A360L0_herm	B306	-0.579320890405805	0.334306618266044	-2.78565569183452	20190304	110029
B306-20190304_110029_proc_male	A360L0_male	B306	-2.01790296654297	1.29426380508664	-2.22195710452572	20190304	110029
B306-20190304_112304_proc_herm	A310L0_herm	B306	-0.797988325859995	0.530587577384136	-2.75288619518021	20190304	112304
B306-20190304_112304_proc_male	A310L0_male	B306	-2.06997756610608	1.35977380490046	-2.28673190081847	20190304	112304
B306-20190304_114340_proc_herm	A160L0_herm	B306	-0.660195186792266	0.411191775028444	-2.78883277361238	20190304	114340
B306-20190304_114340_proc_male	A160L0_male	B306	-2.16982996072052	1.35618306283281	-2.17117861004716	20190304	114340
