exper_data_id	data_id	pop_label	data_group_name	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32
B104-20180205_112304_proc	CA3100L106_NGM_B104	CA3100L106	B104	20180205	112304	1251.576	234.621347876899	7267	1362.27710903807	3.13426545903421	24.8	23	Paris2	NGM	-1.43281219577849	-2.21365493215436	-1.54864367775686	-4.104762050957	-0.837984813805954	-1.8345571774961
B104-20180205_114447_proc	CA3100L108_NGM_B104	CA3100L108	B104	20180205	114447	1221.635	214.229751403368	8867	1554.94497594917	3.19171502547575	24.8	24	Paris2	NGM	-1.38940348462195	-2.43093816832386	-1.39906587201159	-3.56044725904935	-0.867335489832718	-1.3951463869593
B104-20180205_122603_proc	CA3100L101_NGM_B104	CA3100L101	B104	20180205	122603	1297.192	173.820654911839	8886	1190.70294878985	3.07580342916355	24.8	24	Paris2	NGM	-1.36280976921273	-2.58542010657595	-1.59189567190932	-2.30160724217968	-1.06555042913922	-0.433084484496891
B104-20180205_130724_proc	CA3100L31_NGM_B104	CA3100L31	B104	20180205	130724	1207.838	265.19249201278	3890	854.087049695168	2.93150213681971	24.7	24	Paris2	NGM	-1.64561327484129	-2.96057681181511	-1.0029952973358	-4.6072872541079	-0.25848211830416	-2.63263206516078
B104-20180205_135111_proc	CA3100L110_NGM_B104	CA3100L110	B104	20180205	135111	1204.905	222.204489795918	5784	1066.66564499242	3.02802830762427	24.5	25	Paris2	NGM	-1.04548849869574	-2.7259539013943	-1.46118523563502	-5.11983688967304	-0.648233590508385	-2.23764136025818
B104-20180205_141238_proc	CA3100L109_NGM_B104	CA3100L109	B104	20180205	141238	1296.44	219.757211538462	4695	795.841001645334	2.90082631019314	24.5	25	Paris2	NGM	-1.11304579013255	-2.62586737048414	-1.60618990799135	-3.98445077980918	-0.538356345946223	-1.30639446499637
B104-20180205_145510_proc	CA3100L117_NGM_B104	CA3100L117	B104	20180205	145510	1296.299	315.00171624714	3326	808.220717780378	2.90752997887373	24.5	26	Paris2	NGM	-1.64386782807665	-2.9383728478831	-1.42433008116659	-4.63848960978442	-0.491906694972698	-1.97825186617153
B104-20180205_160135_proc	CA3100L100_NGM_B104	CA3100L100	B104	20180205	160135	1297.365	151.100460829493	6940	808.282324678623	2.90756308185624	24.5	26	Paris2	NGM	-1.1501315837925	-2.52481958162931	-1.68819296035818	-3.15922445891588	-0.609523109226416	-0.784881637492525
B104-20180205_172356_proc	CA3100L107_NGM_B104	CA3100L107	B104	20180205	172356	1199.654	361.307930607187	3746	1128.20822341652	3.05238926093751	24.6	27	Paris2	NGM	-1.72801116344001	-2.67623862082277	-1.22334681473584	-4.4570361334312	-0.690924011195481	-2.3338217250464
B105-20180206_101505_proc	A6140L246_NGM_B105	A6140L246	B105	20180206	101505	1296.35	593.047493403694	1960	896.650663070344	2.9526232739791	25	27	Paris2	NGM	-2.38136221901856	-3.09287477342028	-0.62815280954772	-3.95143879657677	-0.201288916207024	-2.66036742364012
